AirportName,Latitude,Longitude,Continent,IsoCountry,IsoRegion,City,GpsCode,IataCode
Aeropuerto Nacional de Fuerte Olimpo,-21.045874,-57.881223,SA,PY,PY-16,Fuerte Olimpo,SGOL,OLK
Aeropuerto Nacional de Juan De Ayolas,-27.378379,-56.856791,SA,PY,PY-8,Ayolas,SGAY,AYO
Aeropuerto Nacional Jorge Jiménez Cantú,19.574155,-99.291183,NA,MX,MX-MEX,Atizapán de Zaragoza,MMJC,AZP
Aeropuerto Nacional Tte. Amin Ayub González,-27.221691,-55.833807,SA,PY,PY-7,Encarnación,SGEN,ENO
Aeropuerto Nacional Tte. Cnel. Carmelo Peralta,-23.440334,-57.429206,SA,PY,PY-1,Concepción,SGCO,CIO
Aerotortuguero Airport,10.42,-83.6095,NA,CR,CR-L,Roxana,MRAO,TTQ
Afonso Pena Airport,-25.5285,-49.1758,SA,BR,BR-PR,Curitiba,SBCT,CWB
Afton Municipal Airport,42.71120071,-110.9420013,NA,US,US-WY,Afton,KAFO,AFO
Afutara Aerodrome,-9.191388889,160.9486111,OC,SB,SB-ML,Bila,AGAF,AFT
Afyon Air Base,38.726398,30.601101,AS,TR,TR-03,Afyonkarahisar,LTAH,AFY
Agartala - Maharaja Bir Bikram Airport,23.886999,91.240402,AS,IN,IN-TR,Agartala,VEAT,IXA
Agatti Airport,10.8237,72.176003,AS,IN,IN-LD,Agatti,VOAT,AGX
Agen-La Garenne Airport,44.17470169,0.590556026,EU,FR,FR-NAQ,Agen/La Garenne,LFBA,AGF
Aggeneys Airport,-29.28179932,18.81389999,AF,ZA,ZA-NC,Aggeneys,FAAG,AGZ
Aghajari Airport,30.7444,49.6772,AS,IR,IR-06,Aghajari,OIAG,AKW
Agnew Airport,-12.1456,142.149369,OC,AU,AU-QLD,Agnew,YAGN,AGW
Agostinho Neto Airport,17.20280075,-25.09059906,AF,CV,CV-B,Ponta do Sol,GVAN,NTO
Agra Airport / Agra Air Force Station,27.157683,77.960942,AS,IN,IN-UP,Agra,VIAG,AGR
Ağrı Airport,39.655642,43.025742,AS,TR,TR-04,Ağrı,LTCO,AJI
Aguas Claras Airport,8.31506,-73.3583,SA,CO,CO-NSA,Ocaña,SKOC,OCV
Aguenar – Hadj Bey Akhamok Airport,22.811501,5.45108,AF,DZ,DZ-11,Tamanrasset,DAAT,TMR
Aguni Airport,26.592755,127.240335,AS,JP,JP-47,Aguni,RORA,AGJ
Ahe Airport,-14.42809963,-146.2570038,OC,PF,PF-U-A,Ahe Atoll,NTHE,AHE
Ahmad Shah Baba International Airport / Kandahar Airfield,31.5058,65.847801,AS,AF,AF-KAN,Khvoshab,OAKN,KDH
Ahmed Al Jaber Air Base,28.93479919,47.79190063,AS,KW,KW-AH,Ahmed Al Jaber AB,OKAJ,XIJ
Ahuas Airport,15.4722,-84.352203,NA,HN,HN-GD,Ahuas,MHAH,AHS
Ai-Ais Airport,-27.995,17.5966,AF,NA,NA-KA,Ai-Ais,FYAA,AIW
Aiambak Airport,-7.342777778,141.2675,OC,PG,PG-WPD,Aiambak,AYAK,AIH
Aiken Regional Airport,33.649399,-81.684998,NA,US,US-SC,Aiken,KAIK,AIK
Ailigandí Airport,9.2226,-78.0236,NA,PA,PS-GY,Isla Lorenzo Bello,MPAI,AIL
Ain Arnat Airport,36.17810059,5.32449007,AF,DZ,DZ-19,Sétif,DAAS,QSF
Ain Beida Airport,31.9172,5.41278,AF,DZ,DZ-30,Ouargla,DAUU,OGX
Ainsworth Regional Airport,42.579201,-99.992995,NA,US,US-NE,Ainsworth,KANW,ANW
Aiome Airport,-5.145699978,144.7307003,OC,PG,PG-MPM,Aiome,AYAO,AIE
Aioun el Atrouss Airport,16.7112999,-9.637880325,AF,MR,MR-02,Aioun El Atrouss,GQNA,AEO
Air Force Captain Jose A Quinones Gonzales International Airport,-6.78748,-79.828102,SA,PE,PE-LAM,Chiclayo,SPHI,CIX
Air Force Colonel Alfredo Mendivil Duarte Airport,-13.1548,-74.204399,SA,PE,PE-AYA,Ayacucho,SPHO,AYP
Aishalton Airport,2.473206,-59.321596,SA,GY,GY-UT,Aishalton,SYAH,AHL
Aitape Airport,-3.143611111,142.3468056,OC,PG,PG-SAN,Aitape,AYAI,ATP
Aitutaki Airport,-18.8309,-159.764008,OC,CK,CK-U-A,Aitutaki,NCAI,AIT
Aiyura Airport,-6.338055556,145.9041667,OC,PG,PG-EHG,Aiyura Valley,AYAY,AYU
Ajaccio-Napoléon Bonaparte Airport,41.92359924,8.802920341,EU,FR,FR-COR,Ajaccio/Napoléon Bonaparte,LFKJ,AJA
AJ Eisenberg Airport,48.25149918,-122.6740036,NA,US,US-WA,Oak Harbor,KOKH,ODW
Aji Pangeran Tumenggung Pranoto International Airport,-0.374478,117.250128,AS,ID,ID-KI,Samarinda,WALS,AAP
Akanu Ibiam International Airport,6.474269867,7.56196022,AF,NG,NG-EN,Enegu,DNEN,ENU
Akhiok Airport,56.93870163,-154.1829987,NA,US,US-AK,Akhiok,PAKH,AKK
Akiachak Airport,60.90480042,-161.4219971,NA,US,US-AK,Akiachak,Z13,KKI
Akiak Airport,60.9029007,-161.2310028,NA,US,US-AK,Akiak,PFAK,AKI
Akieni Airport,-1.139670014,13.90359974,AF,GA,GA-2,Akieni,FOGA,AKE
Akita Airport,39.615601,140.218994,AS,JP,JP-05,Akita,RJSK,AXT
Akjoujt Airport,19.727998,-14.377214,AF,MR,MR-12,Akjoujt,GQNJ,AJJ
Aklavik/Freddie Carmichael Airport,68.223297,-135.00599,NA,CA,CA-NT,Aklavik,CYKD,LAK
Akola Airport,20.698931,77.056883,AS,IN,IN-MM,Akola,VAAK,AKD
Akron Canton Regional Airport,40.91609955,-81.44219971,NA,US,US-OH,Akron,KCAK,CAK
Akron Executive Airport,41.037498,-81.466904,NA,US,US-OH,Akron,KAKR,AKC
Aksu Hongqipo Airport,41.262501,80.291702,AS,CN,CN-65,Aksu (Onsu),ZWAK,AKU
Aktau Airport,43.860093,51.09086,AS,KZ,KZ-MAN,Aktau,UATE,SCO
Aktion National Airport,38.92549896,20.76530075,EU,GR,GR-D,Preveza/Lefkada,LGPZ,PVK
Aktobe Airport,50.2458,57.206699,AS,KZ,KZ-AKT,Aktobe,UATT,AKX
Akulivik Airport,60.8185997,-78.14859772,NA,CA,CA-QC,Akulivik,CYKO,AKV
Akure Airport,7.246739864,5.301010132,AF,NG,NG-ON,Akure,DNAK,AKR
Akureyri Airport,65.66000366,-18.0727005,EU,IS,IS-6,Akureyri,BIAR,AEY
Akutan Airport,54.14459,-165.604332,NA,US,US-AK,Akutan,PAUT,KQA
