airline_id,name,iata,icao,callsign,country,logo_svg_url,logo_png_url
969,All America BR,1Y,A9B,Null,Brazil,https://d26to83vtzzpey.cloudfront.net/1Y.svg,https://d39ferq6cuvala.cloudfront.net/1Y.png
970,Volotea Costa Rica,9V,VC9,Null,Costa Rica,https://d26to83vtzzpey.cloudfront.net/9V.svg,https://d39ferq6cuvala.cloudfront.net/9V.png
971,Fly Romania,X5,OTJ,TENDER AIR,Romania,https://d26to83vtzzpey.cloudfront.net/X5.svg,https://d39ferq6cuvala.cloudfront.net/X5.png
972,Eagle Atlantic Airlines,E2,\N,Null,Ghana,https://d26to83vtzzpey.cloudfront.net/E2.svg,https://d39ferq6cuvala.cloudfront.net/E2.png
973,All America CO,0Y,7ZC,Null,Colombia,https://d26to83vtzzpey.cloudfront.net/0Y.svg,https://d39ferq6cuvala.cloudfront.net/0Y.png
974,All America MX,0M,0MM,Null,Mexico,https://d26to83vtzzpey.cloudfront.net/0M.svg,https://d39ferq6cuvala.cloudfront.net/0M.png
975,FOX Linhas Aereas,FX,FOX,Null,Brazil,https://d26to83vtzzpey.cloudfront.net/FX.svg,https://d39ferq6cuvala.cloudfront.net/FX.png
976,Air Kenya (Priv),QP,\N,Null,Kenya,https://d26to83vtzzpey.cloudfront.net/QP.svg,https://d39ferq6cuvala.cloudfront.net/QP.png
977,Via Conectia Airlines,6V,CZV,Null,Uruguay,https://d26to83vtzzpey.cloudfront.net/6V.svg,https://d39ferq6cuvala.cloudfront.net/6V.png
978,City Airways,E8,GTA,CITY AIR,Thailand,https://d26to83vtzzpey.cloudfront.net/E8.svg,https://d39ferq6cuvala.cloudfront.net/E8.png
979,Norwegian Long Haul AS,DU,NLH,NORSTAR,Norway,https://d26to83vtzzpey.cloudfront.net/DU.svg,https://d39ferq6cuvala.cloudfront.net/DU.png
980,TransNusa Air,M8,TNU,TRANSNUSA,Indonesia,https://d26to83vtzzpey.cloudfront.net/M8.svg,https://d39ferq6cuvala.cloudfront.net/M8.png
981,Tomp Airlines,ZT,T9P,Null,Chile,https://d26to83vtzzpey.cloudfront.net/ZT.svg,https://d39ferq6cuvala.cloudfront.net/ZT.png
982,OneJet,J1,\N,Null,United States,https://d26to83vtzzpey.cloudfront.net/J1.svg,https://d39ferq6cuvala.cloudfront.net/J1.png
